p0 init
p1 init
p2 init
p3 init
p4 init
p5 init
p6 init
p7 init
p8 init
p9 init
p10 init
p11 init
p12 init
p13 init
p14 init
p15 init
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p8 compute 5000000
p9 compute 5000000
p10 compute 5000000
p11 compute 5000000
p12 compute 5000000
p13 compute 5000000
p14 compute 5000000
p15 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p8 sleep 0.01
p9 sleep 0.01
p10 sleep 0.01
p11 sleep 0.01
p12 sleep 0.01
p13 sleep 0.01
p14 sleep 0.01
p15 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p8 compute 5000000
p9 compute 5000000
p10 compute 5000000
p11 compute 5000000
p12 compute 5000000
p13 compute 5000000
p14 compute 5000000
p15 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p8 sleep 0.01
p9 sleep 0.01
p10 sleep 0.01
p11 sleep 0.01
p12 sleep 0.01
p13 sleep 0.01
p14 sleep 0.01
p15 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p8 compute 5000000
p9 compute 5000000
p10 compute 5000000
p11 compute 5000000
p12 compute 5000000
p13 compute 5000000
p14 compute 5000000
p15 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p8 sleep 0.01
p9 sleep 0.01
p10 sleep 0.01
p11 sleep 0.01
p12 sleep 0.01
p13 sleep 0.01
p14 sleep 0.01
p15 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p8 compute 5000000
p9 compute 5000000
p10 compute 5000000
p11 compute 5000000
p12 compute 5000000
p13 compute 5000000
p14 compute 5000000
p15 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p8 sleep 0.01
p9 sleep 0.01
p10 sleep 0.01
p11 sleep 0.01
p12 sleep 0.01
p13 sleep 0.01
p14 sleep 0.01
p15 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p8 compute 5000000
p9 compute 5000000
p10 compute 5000000
p11 compute 5000000
p12 compute 5000000
p13 compute 5000000
p14 compute 5000000
p15 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p8 sleep 0.01
p9 sleep 0.01
p10 sleep 0.01
p11 sleep 0.01
p12 sleep 0.01
p13 sleep 0.01
p14 sleep 0.01
p15 sleep 0.01
p0 compute 5000000
p1 compute 5000000
