p0 init
p1 init
p2 init
p3 init
p4 init
p5 init
p6 init
p7 init
p8 init
p9 init
p10 init
p11 init
p12 init
p13 init
p14 init
p15 init
p0 compute 12500000
p1 compute 12500000
p2 compute 12500000
p3 compute 12500000
p4 compute 12500000
p5 compute 12500000
p6 compute 12500000
p7 compute 12500000
p8 compute 25000000
p9 compute 25000000
p10 compute 25000000
p11 compute 25000000
p12 compute 25000000
p13 compute 25000000
p14 compute 25000000
p15 compute 25000000
p0 sleep 0.075
p1 sleep 0.075
p2 sleep 0.075
p3 sleep 0.075
p4 sleep 0.075
p5 sleep 0.075
p6 sleep 0.075
p7 sleep 0.075
p8 sleep 0.05
p9 sleep 0.05
p10 sleep 0.05
p11 sleep 0.05
p12 sleep 0.05
p13 sleep 0.05
p14 sleep 0.05
p15 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p2 compute 25000000
p3 compute 25000000
p4 compute 25000000
p5 compute 25000000
p6 compute 25000000
p7 compute 25000000
p8 compute 25000000
p9 compute 25000000
p10 compute 25000000
p11 compute 25000000
p12 compute 25000000
p13 compute 25000000
p14 compute 25000000
p15 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p2 sleep 0.05
p3 sleep 0.05
p4 sleep 0.05
p5 sleep 0.05
p6 sleep 0.05
p7 sleep 0.05
p8 sleep 0.05
p9 sleep 0.05
p10 sleep 0.05
p11 sleep 0.05
p12 sleep 0.05
p13 sleep 0.05
p14 sleep 0.05
p15 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p2 compute 25000000
p3 compute 25000000
p4 compute 25000000
p5 compute 25000000
p6 compute 25000000
p7 compute 25000000
p8 compute 25000000
p9 compute 25000000
p10 compute 25000000
p11 compute 25000000
p12 compute 25000000
p13 compute 25000000
p14 compute 25000000
p15 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p2 sleep 0.05
p3 sleep 0.05
p4 sleep 0.05
p5 sleep 0.05
p6 sleep 0.05
p7 sleep 0.05
p8 sleep 0.05
p9 sleep 0.05
p10 sleep 0.05
p11 sleep 0.05
p12 sleep 0.05
p13 sleep 0.05
p14 sleep 0.05
p15 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p2 compute 25000000
p3 compute 25000000
p4 compute 25000000
p5 compute 25000000
p6 compute 25000000
p7 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p2 sleep 0.05
p3 sleep 0.05
p4 sleep 0.05
p5 sleep 0.05
p6 sleep 0.05
p7 sleep 0.05
p8 sleep 0.1
p9 sleep 0.1
p10 sleep 0.1
p11 sleep 0.1
p12 sleep 0.1
p13 sleep 0.1
p14 sleep 0.1
p15 sleep 0.1
p0 send p8 3125000
p8 recv p0
p1 send p9 3125000
p9 recv p1
p2 send p10 3125000
p10 recv p2
p3 send p11 3125000
p11 recv p3
p4 send p12 3125000
p12 recv p4
p5 send p13 3125000
p13 recv p5
p6 send p14 3125000
p14 recv p6
p7 send p15 3125000
p15 recv p7
p0 sleep 0.0655222
p1 sleep 0.0655222
p2 sleep 0.0655222
p3 sleep 0.0655222
p4 sleep 0.0655222
p5 sleep 0.0655222
p6 sleep 0.0655222
p7 sleep 0.0655222
p8 sleep 0.0655222
p9 sleep 0.0655222
p10 sleep 0.0655222
p11 sleep 0.0655222
p12 sleep 0.0655222
p13 sleep 0.0655222
p14 sleep 0.0655222
p15 sleep 0.0655222
p0 sleep 0.1
p1 sleep 0.1
p2 sleep 0.1
p3 sleep 0.1
p4 sleep 0.1
p5 sleep 0.1
p6 sleep 0.1
p7 sleep 0.1
p8 sleep 0.1
p9 sleep 0.1
p10 sleep 0.1
p11 sleep 0.1
p12 sleep 0.1
p13 sleep 0.1
p14 sleep 0.1
p15 sleep 0.1
p8 compute 25000000
p9 compute 25000000
p10 compute 25000000
p11 compute 25000000
p12 compute 25000000
p13 compute 25000000
