p0 init
p1 init
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p0 compute 10000000
p1 compute 15000000
p0 sleep 0.04
