p0 init
p1 init
p2 init
p3 init
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
