p0 init
p1 init
p2 init
p3 init
p4 init
p5 init
p6 init
p7 init
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
p6 compute 5000000
p7 compute 5000000
p0 sleep 0.01
p1 sleep 0.01
p2 sleep 0.01
p3 sleep 0.01
p4 sleep 0.01
p5 sleep 0.01
p6 sleep 0.01
p7 sleep 0.01
p0 compute 5000000
p1 compute 5000000
p2 compute 5000000
p3 compute 5000000
p4 compute 5000000
p5 compute 5000000
