p0 init
p1 init
p2 init
p3 init
p4 init
p5 init
p6 init
p7 init
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p0 compute 10000000
p1 compute 10000000
p2 compute 10000000
p3 compute 10000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.04
p1 sleep 0.04
p2 sleep 0.04
p3 sleep 0.04
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
